Unnamed: 0,Country,YearMonth,Query1,Query2,Query3,Query4,Query5,Query6,Query7,Query8,Query9,Query10,Query11,Query12,Query13,Query14,Query15,Query16,Query17,Query18,Query19,Query20,Query21,Query22,Query23,Query24,Query25,Query26,Query27,Query28,Query29,Query30,Query31,Query32,Query33,Query34,Query35,Query36,Query37,Query38,Query39,Query40
712,NG,2022-09-01,feminism meaning,feminism meaning,first wave feminism,intersectional feminism,intersectional feminism,intersectional feminism,feminism meaning in english,everyday feminism,feminism meaning,marxism,third wave feminism,radical feminism,mad max fury road,f bombs for feminism,first wave feminism,women against feminism,feminism quote,what is a feminist,feminism meaning in telugu,what is a feminist,egalitarianism,lorde,,,,,,,,,,,,,,,,,,
713,NG,2022-09-01,feminism meaning,feminist meaning,first wave feminism,intersectional feminism,intersectional feminism,intersectional feminism,feminist meaning,everyday feminism,feminist meaning,beyonce feminism,third wave feminism,radical feminism,second wave feminism,feminism in london conference,sexism,beyonce feminism,feminist quotes,what is a feminist,feminist meaning in english,what is a feminist,egalitarianism,anti feminism,,,,,,,,,,,,,,,,,,
714,NG,2022-09-01,feminism meaning,feminist meaning,first wave feminism,intersectional feminism,intersectional feminism,intersectional feminism,feminism meaning,everyday feminism,feminist meaning,beyonce feminism,third wave feminism,radical feminism,second wave feminism,sex positive feminism,sexism,second wave feminism,feminism quote,what is a feminist,feminism meaning in tamil,what is a feminist,feminism is for everybody,quotes about feminism,,,,,,,,,,,,,,,,,,
715,NG,2022-10-01,feminism meaning,feminism meaning,history of feminism,intersectional feminism,intersectional feminism,intersectional feminism,feminist meaning,everyday feminism,feminist meaning,beyonce feminism,third wave feminism,radical feminism,second wave feminism,sex positive feminism,shailene woodley feminism,second wave feminism,feminist quotes,what is a feminist,feminism meaning in telugu,whats a feminist,bell hooks feminism is for everybody,fourth wave feminism,,,,,,,,,,,,,,,,,,
716,NG,2022-10-01,feminism meaning,feminist meaning,feminism in india,intersectional feminism,intersectional feminism,emma watson,feminist meaning,everyday feminism,fourth wave feminism,women against feminism,third wave feminism,radical feminism,feminism history,sex positive feminism,shailene woodley feminism,second wave feminism,sexism,what is a feminist,feminism meaning in malayalam,feminism is bullshit,feminism is for everybody,frozen feminism,,,,,,,,,,,,,,,,,,
717,NG,2022-10-01,feminism meaning,feminist meaning,feminism in india,intersectional feminism,intersectional feminism,emma watson,feminism meaning in tamil,everyday feminism,fourth wave feminism,women against feminism,third wave feminism,radical feminism,feminism history,sex positive feminism,shailene woodley,shailene woodley,sexism,what is a feminist,feminism meaning in bengali,second wave feminism,modern feminism,american indian movement,,,,,,,,,,,,,,,,,,
718,PH,2022-10-01,feminism meaning,feminism meaning,feminism in india,intersectional feminism,intersectional feminism,emma watson feminism,feminism meaning in tamil,mark ruffalo feminism,fourth wave feminism,women against feminism,third wave feminism,radical feminism,feminism history,emma watson feminism,third wave feminism,shailene woodley feminism,sexism,feminist quotes,feminist meaning in hindi,second wave feminism,shailene woodley feminism,simone de beauvoir,margaret thatcher feminism quotes,,,,,,,,,,,,,,,,,
719,PH,2022-11-01,feminism meaning,feminist meaning,feminism in india,intersectional feminism,intersectional feminism,emma watson feminism,feminism meaning in tamil,mad max fury road feminism,fourth wave feminism,intersectional feminism,third wave feminism,radical feminism,history of feminism,emma watson feminism,third wave feminism,radical feminism,sexism,feminism quote,feminist meaning in hindi,intersectional feminism,waves of feminism,lana del rey on feminism,roe v wade,,,,,,,,,,,,,,,,,
720,PH,2022-11-01,feminism meaning,feminist meaning,feminism in india,intersectional feminism,intersectional feminism,emma watson feminism,feminist meaning,mad max,fourth wave feminism,intersectional feminism,third wave feminism,radical feminism,history of feminism,ano ang papel ng mga lalaki sa feminism ayon kay emma watson,white feminism,radical feminism,hillary clinton feminism,feminist quotes,feminist meaning in hindi,shailene woodley,waves of feminism,lana del rey feminism,roe v wade,,,,,,,,,,,,,,,,,
721,PH,2022-11-01,feminism meaning,feminist meaning,feminism in india,intersectional feminism,intersectional feminism,feminism history,feminist meaning,lesbian feminism,emma watson feminism speech,intersectional feminism,third wave feminism,radical feminism,history of feminism,modern feminism,white feminism,radical feminism,modern feminism,feminist quotes,feminism meaning in malayalam,robert downey jr feminism,waves of feminism,intersectional feminism,perrie edwards feminism,,,,,,,,,,,,,,,,,
722,PH,2022-11-01,feminism meaning,feminist meaning,feminism in india,intersectional feminism,intersectional feminism,feminism history,feminist meaning,lesbian feminism,emma watson,intersectional feminism,third wave feminism,radical feminism,feminism history,modern feminism,white feminism,everyday feminism,modern feminism,feminism quotes,feminist meaning in hindi,first wave feminism,full frontal feminism,intersectional feminism,joss whedon feminism,,,,,,,,,,,,,,,,,
723,PH,2022-11-01,feminism meaning,feminist meaning,feminism in india,intersectional feminism,intersectional feminism,lesbian feminism,feminism meaning,lesbian feminism,ano ang ibig sabihin ng feminism ayon kay emma watson,kaley cuoco feminism,third wave feminism,radical feminism,history of feminism,anti feminism,second wave feminism,everyday feminism,modern feminism,feminism today,feminism meaning in english,first wave feminism,emma watson feminism speech,intersectional feminism,bell hooks feminism is for everybody,,,,,,,,,,,,,,,,,
